Temperature;Humidity;Latitud;Longitud;Brix;Acidez;Agua;Índice padurez;Calibre;Fertilizantes;Primavera;Verano;Otoño;Invierno;ID;Frescura
11.0;60.0;37.03505754567047;-2.475077151665901;9.12;0.8;87.14;14.81;7;0;1;0;0;1;6;1
11.0;60.0;37.02148222252682;-2.652777232257299;8.08;0.8;86.95;14.45;7;0;1;0;0;1;6;1
11.0;60.0;36.79446510474291;-2.788192768932032;6.07;0.74;94.92;11.73;9;1;1;0;1;1;8;1
11.0;60.0;37.17644790564675;-2.328071397299293;5.71;0.33;92.07;12.81;7;0;1;1;1;1;4;1
11.0;60.0;37.04783104804549;-2.653866631173609;6.12;0.8;85.89;12.03;5;1;1;0;0;1;13;0
11.0;60.0;37.10734902975391;-2.561651511523913;7.17;0.7;87.32;11.05;3;0;1;0;1;1;14;0
11.0;60.0;37.10012582321162;-2.6141350016680835;3.5;0.3;97.73;12.64;12;0;1;0;1;1;16;0
11.0;60.0;37.00315652677367;-2.4292691745189026;8.45;0.75;92.65;12.65;8;0;1;0;1;1;8;1
11.0;60.0;37.06477972408828;-2.653481538440494;5.18;0.31;93.74;13.39;6;0;1;1;1;1;4;1
11.0;60.0;37.04212179122995;-2.6654785247808186;5.08;0.4;95.94;10.89;6;1;1;0;1;1;9;0
11.0;60.0;36.70457113750184;-2.7064349707552107;8.21;0.53;88.34;14.81;1;0;1;0;1;1;5;0
11.0;60.0;37.13093453254254;-2.4850618623838234;6.99;0.58;94.45;13.55;6;0;1;0;1;1;17;1
11.0;60.0;37.17422084749302;-2.2218557922843805;7.55;0.75;88.11;8.89;1;0;1;0;1;1;15;0
11.0;60.0;37.13004244050539;-2.6819355996547887;3.6;0.3;95.64;13.82;11;0;1;1;0;1;7;1
11.0;60.0;36.982256339739386;-2.6071978030949814;6.96;0.67;87.14;10.74;3;0;1;0;1;1;14;0
11.0;60.0;37.06310859038828;-2.2232610354699003;7.04;0.72;90.78;9.24;3;0;1;0;1;1;15;0
11.0;60.0;37.03427660540287;-2.233774032011234;2.7;0.3;97.74;12.12;9;0;1;0;1;1;16;0
11.0;60.0;36.98706792710545;-2.670753243529713;9.55;0.8;86.16;13.57;8;0;1;0;0;1;6;1
11.0;61.0;37.12965612725677;-2.675020579204379;3.14;0.3;97.68;12.81;9;0;1;0;1;1;16;0
11.0;61.0;36.89443175466888;-2.721333514886679;5.24;0.43;96.05;13.13;11;0;1;0;0;1;1;1
11.0;61.0;37.175151027868175;-2.5927209598926955;8.01;0.7;92.48;10.04;9;0;1;0;1;1;8;1
11.0;61.0;36.87806810548585;-2.596482377969508;7.7;0.43;87.44;14.11;2;0;1;0;1;1;5;0
11.0;61.0;37.007009673584186;-2.560210337290408;5.41;0.48;95.01;10.83;7;0;1;0;1;1;9;0
11.0;61.0;36.75555077101358;-2.347134125229092;8.51;0.74;93.91;13.83;6;1;1;0;1;1;8;1
11.0;61.0;37.11175219056567;-2.55050255582811;7.18;0.63;94.12;11.87;8;0;1;0;1;1;8;1
11.0;61.0;37.05466315472749;-2.7788993727947777;5.26;0.45;95.11;10.81;8;0;1;0;1;1;9;0
11.0;61.0;36.85380554267163;-2.552103776352946;4.27;0.27;97.27;13.99;9;0;0;0;1;1;12;1
11.0;61.0;37.12662477915781;-2.3431432295540056;6.32;0.48;96.07;14.02;10;0;1;0;1;1;3;1
11.0;61.0;37.137668787191934;-2.343894177672375;5.16;0.33;93.89;12.63;8;0;1;1;1;1;11;0
11.0;61.0;36.99633720256893;-2.545502117307002;5.02;0.42;96.32;13.64;9;1;1;0;0;1;1;1
11.0;61.0;37.17941011506508;-2.237432032546371;5.12;0.33;94.33;13.94;7;0;1;1;1;1;11;1
11.0;61.0;36.7449162085164;-2.521941517248126;8.02;0.8;88.01;12.96;7;1;1;0;0;1;6;1
11.0;61.0;37.03760546565988;-2.348327090460613;8.99;0.8;89.04;14.47;5;1;1;0;0;1;6;1
11.0;61.0;36.981435534827696;-2.577821139349948;7.28;0.63;87.08;11.08;3;0;1;0;1;1;14;0
11.0;61.0;36.921280841090045;-2.4347256169707925;6.64;0.54;94.28;13.77;7;0;1;0;1;1;17;1
11.0;61.0;36.85764827384707;-2.641870851737754;8.25;0.51;86.37;18.4;2;0;1;0;1;1;5;1
11.0;61.0;36.92586950716584;-2.386113472677105;5.17;0.44;95.46;10.72;6;0;1;0;1;1;9;0
11.0;61.0;36.77298402840161;-2.707642957153307;7.96;0.36;94.12;14.98;8;1;1;1;0;1;10;1
11.0;61.0;37.14974041699315;-2.7844566895538594;5.05;0.41;96.81;13.1;10;0;1;0;0;1;1;1
11.0;61.0;36.75740694630005;-2.793125886145672;7.26;0.67;86.91;11.02;2;0;1;0;1;1;14;0
11.0;61.0;36.72858777289085;-2.760112856918424;6.4;0.36;94.25;13.56;8;1;1;1;0;1;10;1
11.0;61.0;37.13798326375738;-2.581673648144095;3.59;0.26;96.92;16.26;10;0;0;0;1;1;12;1
11.0;61.0;37.09602669710006;-2.2948904014996088;5.41;0.43;96.88;14.4;10;1;1;0;0;1;2;1
11.0;61.0;36.78923974290374;-2.343671725229045;6.78;0.67;86.21;11.16;1;0;1;0;1;1;14;0
11.0;61.0;36.7267537602474;-2.528607078283315;6.4;0.8;87.61;13.29;6;0;1;0;0;1;13;1
11.0;62.0;36.893040311481975;-2.5253822403703827;5.62;0.38;94.54;13.71;6;1;1;1;1;1;4;1
11.0;62.0;36.88213570738476;-2.2451202430737505;6.24;0.8;86.05;13.68;7;0;1;0;0;1;13;1
11.0;62.0;37.135685731008174;-2.360299197630398;9.11;0.8;89.67;13.54;7;0;1;0;0;1;6;1
11.0;62.0;37.10516687938015;-2.641192746233553;5.41;0.4;95.11;11.92;7;0;1;0;1;1;9;0
11.0;62.0;36.772997355037575;-2.7494424889022246;5.49;0.33;93.68;13.89;6;0;1;1;1;1;11;1
11.0;62.0;36.77826546249054;-2.296751097139575;6.51;0.32;94.04;12.21;8;1;1;1;0;1;10;1
11.0;62.0;36.932854100439336;-2.463742043989308;5.4;0.33;94.06;13.81;8;1;1;1;1;1;11;1
11.0;62.0;36.718736285137325;-2.7553509308223734;5.26;0.33;94.85;14.79;8;0;1;1;1;1;11;1
11.0;62.0;36.918562192242106;-2.490301895688163;6.86;0.68;86.43;11.17;3;0;1;0;1;1;14;0
11.0;62.0;36.94453402288229;-2.7848760141989124;5.29;0.4;96.98;12.31;11;1;1;0;0;1;2;1
11.0;62.0;36.774274567452686;-2.7612577145145902;6.92;0.31;94.24;14.88;9;0;1;1;0;1;10;1
11.0;62.0;36.993539024439634;-2.4436398838513624;6.48;0.34;93.58;13.49;7;0;1;1;1;1;4;1
11.0;62.0;36.99704075338201;-2.598545536879004;5.39;0.41;96.09;14.35;11;1;1;0;0;1;1;1
11.0;62.0;37.07807890128223;-2.464044761395066;4.31;0.22;97.27;14.42;10;1;0;0;1;1;12;1
11.0;62.0;37.13210199211004;-2.602912140140766;6.43;0.48;96.93;14.93;9;0;1;0;1;1;3;1
11.0;62.0;37.0538156242806;-2.4372209336144066;3.66;0.3;95.82;12.71;11;0;1;1;0;1;7;0
11.0;62.0;36.814581115910606;-2.554136735446837;7.66;0.73;81.46;8.39;2;0;1;0;1;1;15;0
11.0;62.0;36.9919574432713;-2.6818212833647816;3.91;0.23;96.78;15.33;8;1;0;0;1;1;12;1
11.0;62.0;36.79650416405938;-2.4292614127669307;8.16;0.74;93.03;12.12;9;0;1;0;1;1;8;1
11.0;62.0;37.01413615778048;-2.60590251004766;6.39;0.4;92.76;12.95;6;0;1;1;1;1;4;1
11.0;62.0;37.11112441843029;-2.78415049722223;3.61;0.3;95.85;14.13;10;1;1;1;0;1;7;1
11.0;62.0;36.98513919579812;-2.4274355448998413;6.75;0.32;94.1;14.33;9;0;1;1;0;1;10;1
11.0;62.0;36.83739972215541;-2.5110714579656337;5.9;0.31;94.87;12.54;6;0;1;1;1;1;4;1
11.0;62.0;36.97087699726859;-2.284280219457465;7.09;0.66;86.62;11.17;3;1;1;0;1;1;14;0
11.0;62.0;37.10121365722812;-2.4376827150856086;6.82;0.8;88.22;14.62;6;0;1;0;0;1;13;1
11.0;62.0;36.741338035018494;-2.27698456709854;7.91;0.53;84.63;16.04;2;0;1;0;1;1;5;0
11.0;62.0;37.186606844365066;-2.498426432771471;8.15;0.8;87.8;12.13;7;1;1;0;0;1;6;1
11.0;62.0;37.11599850097467;-2.2951937091517283;3.83;0.3;95.87;13.84;9;0;1;1;0;1;7;1
11.0;62.0;36.98222949205154;-2.332076672742289;6.47;0.38;96.63;13.45;9;1;1;0;1;1;3;1
11.0;62.0;37.10177000363889;-2.4699007169757303;6.85;0.58;94.05;12.9;9;0;1;0;1;1;8;1
11.0;62.0;36.97751026420881;-2.695835611914391;2.8;0.3;97.7;12.98;12;1;1;0;1;1;16;0
11.0;62.0;37.1628542630203;-2.3534473896289207;6.81;0.37;94.86;14.75;7;0;1;1;0;1;10;1
11.0;62.0;37.04081078527231;-2.2382675498421323;4.37;0.28;97.33;17.05;9;0;0;0;1;1;12;1
11.0;62.0;37.143343304972426;-2.5320297790335937;6.35;0.8;87.99;12.95;6;0;1;0;0;1;13;1
11.0;62.0;36.80669714746537;-2.533356322352397;4.05;0.3;95.58;12.98;13;1;1;1;0;1;7;0
11.0;62.0;36.7002634027932;-2.7626103281288867;6.38;0.41;96.75;15.53;8;0;1;0;1;1;3;1
11.0;62.0;37.054226803964944;-2.7809488057344107;6.7;0.56;94.44;14.23;7;0;1;0;1;1;17;1
11.0;62.0;37.15392517909196;-2.71222367524162;7.37;0.84;90.47;9.37;3;1;1;0;1;1;15;0
11.0;62.0;37.191456337189685;-2.215273089136143;7.24;0.75;92.42;13.93;8;0;1;0;1;1;8;1
11.0;62.0;36.8680998227595;-2.675598864284258;2.57;0.3;97.62;12.4;10;0;1;0;1;1;16;0
11.0;62.0;37.162107562640855;-2.201199989441628;6.07;0.8;85.34;14.54;8;0;1;0;0;1;13;1
11.0;62.0;37.08372558967561;-2.7955280806660943;7.65;0.87;83.39;8.73;2;0;1;0;1;1;15;0
11.0;62.0;36.836256125247886;-2.3366485152212526;6.36;0.34;94.53;12.73;7;0;1;1;0;1;10;1
11.0;62.0;37.07600679219105;-2.6847779856018827;7.27;0.49;88.38;14.93;3;1;1;0;1;1;5;1
11.0;62.0;37.09403178641535;-2.222851927737828;5.73;0.33;93.36;14.21;7;1;1;1;1;1;4;1
14.0;65.0;36.8438386490395;-2.790535748055153;5.46;0.31;93.94;13.76;7;1;1;1;1;1;11;1
14.0;66.0;37.05313657684653;-2.7288856095591174;5.57;0.31;94.57;13.23;7;0;1;1;1;1;4;1
14.0;66.0;36.93702183872375;-2.6555788731316965;7.27;0.6;86.85;10.73;3;0;1;0;1;1;14;0
14.0;66.0;36.89034364518309;-2.333579440533319;7.69;0.74;90.15;8.22;3;0;1;0;1;1;15;0
14.0;66.0;36.9422788477984;-2.722269886119613;5.04;0.37;94.98;14.68;6;0;1;1;1;1;4;1
14.0;66.0;36.85126034766767;-2.3592780432499847;8.67;0.63;92.16;12.31;9;0;1;0;1;1;8;1
14.0;66.0;37.104420949887405;-2.770915454111237;8.57;0.57;93.09;12.95;7;0;1;0;1;1;8;1
14.0;66.0;37.13445887195536;-2.677086956432936;3.77;0.3;95.68;13.11;9;0;1;1;0;1;7;0
14.0;66.0;36.75040718565265;-2.5097358351004795;7.05;0.7;86.05;11.1;2;0;1;0;1;1;14;0
14.0;66.0;36.75648353783782;-2.502741452868556;5.44;0.33;93.95;13.94;8;1;1;1;1;1;11;1
14.0;66.0;37.138013263672086;-2.7703903344883534;2.42;0.3;97.74;12.44;9;0;1;0;1;1;16;0
14.0;66.0;37.01756188950209;-2.6048989517752354;5.12;0.43;96.0;10.88;8;0;1;0;1;1;9;0
14.0;66.0;37.12205265047794;-2.2608804516988807;5.23;0.37;94.11;12.35;6;0;1;1;1;1;4;0
14.0;66.0;37.12449327187892;-2.5005469066011763;5.32;0.44;96.28;13.65;10;0;1;0;0;1;2;1
14.0;66.0;37.07642364927483;-2.783944804582976;8.27;0.45;85.63;17.24;2;0;1;0;1;1;5;1
14.0;66.0;36.92727070736792;-2.5061427867782715;6.54;0.57;92.73;11.5;7;0;1;0;1;1;8;0
14.0;66.0;37.166708473174594;-2.4761420371321994;3.09;0.3;97.66;12.5;13;0;1;0;1;1;16;0
14.0;66.0;36.92175158296487;-2.223655015605055;5.12;0.42;95.86;10.55;8;0;1;0;1;1;9;0
14.0;66.0;36.73023881406717;-2.342296006675616;7.78;0.31;94.17;14.64;8;1;1;1;0;1;10;1
14.0;66.0;36.73220444881576;-2.460070454376589;6.32;0.8;88.1;14.89;8;0;1;0;0;1;13;1
14.0;66.0;37.1661513751287;-2.414591396535997;6.93;0.35;94.36;14.58;8;1;1;1;0;1;10;1
14.0;66.0;36.97818648489693;-2.2876381066599425;5.01;0.38;94.08;12.88;7;0;1;1;1;1;4;1
14.0;66.0;37.164597340296446;-2.4115214613862994;8.7;0.57;93.56;12.63;9;1;1;0;1;1;8;1
14.0;66.0;37.07885166276009;-2.6052327524294494;6.65;0.61;94.43;13.52;8;0;1;0;1;1;8;1
14.0;66.0;36.96848779286477;-2.3956154942025845;6.55;0.4;94.77;14.33;6;1;1;0;1;1;17;1
14.0;66.0;36.92176310074522;-2.581140203225886;6.22;0.8;89.83;14.13;7;0;1;0;0;1;13;1
14.0;66.0;36.99486376913468;-2.744256086868196;4.55;0.23;97.46;18.17;9;1;0;0;1;1;12;1
14.0;66.0;37.04651980530251;-2.6496397074262044;3.42;0.3;97.75;12.12;11;0;1;0;1;1;16;0
14.0;66.0;36.77918120825392;-2.6175053998753026;6.1;0.4;96.06;12.78;8;1;1;0;1;1;3;1
14.0;66.0;36.99922889862204;-2.29448898078701;6.87;0.68;86.61;10.86;3;0;1;0;1;1;14;0
14.0;66.0;36.97615401848108;-2.4896710213146296;8.66;0.49;86.01;16.86;2;0;1;0;1;1;5;1
14.0;66.0;36.98244718646725;-2.7506939349558825;3.16;0.3;97.7;12.16;13;0;1;0;1;1;16;0
14.0;66.0;36.71512456529241;-2.2749941349572613;6.26;0.49;96.57;12.5;10;1;1;0;1;1;3;1
14.0;66.0;36.95651105064978;-2.6836652386414697;3.8;0.3;95.99;12.92;10;0;1;1;0;1;7;0
14.0;66.0;36.768556466197694;-2.6676675040701845;7.77;0.8;86.42;13.22;7;0;1;0;0;1;6;1
14.0;66.0;37.12201795804408;-2.650509167777133;5.01;0.31;94.27;14.51;6;0;1;1;1;1;4;1
14.0;66.0;36.82842368554671;-2.7135169015800344;5.04;0.46;95.94;11.7;6;0;1;0;1;1;9;0
14.0;66.0;36.88376484023012;-2.580977456473555;7.83;0.95;89.63;8.45;3;1;1;0;1;1;15;0
14.0;66.0;36.79006080127252;-2.783198078810863;5.14;0.34;93.68;12.72;6;1;1;1;1;1;11;0
14.0;66.0;36.83762888323333;-2.649835649931735;7.1;0.68;86.36;11.1;3;1;1;0;1;1;14;0
14.0;66.0;36.72044571558971;-2.4977608051817013;6.0;0.72;92.07;10.6;9;0;1;0;1;1;8;0
14.0;66.0;36.93745298550173;-2.3400041668322715;6.72;0.8;87.41;14.15;7;0;1;0;0;1;13;1
14.0;66.0;37.184325448871846;-2.5840013611387715;7.32;0.62;86.63;10.73;2;1;1;0;1;1;14;0
14.0;66.0;36.96963570321139;-2.2382581185784947;5.49;0.31;94.47;12.13;7;0;1;1;1;1;11;0
14.0;66.0;37.10937030017329;-2.732557240682373;7.65;0.95;87.5;8.03;2;0;1;0;1;1;15;0
14.0;66.0;36.96742887502021;-2.7942844617770546;5.93;0.33;94.14;14.16;6;0;1;1;1;1;4;1
14.0;66.0;36.776822598084095;-2.262142131273281;6.63;0.48;94.34;14.02;6;0;1;0;1;1;17;1
14.0;66.0;36.85617641350853;-2.484960220354841;6.41;0.39;94.18;14.0;7;0;1;1;0;1;10;1
14.0;66.0;37.12060185316717;-2.770725938108992;6.05;0.39;96.72;13.73;10;0;1;0;1;1;3;1
14.0;66.0;36.903311145635925;-2.453358905703262;7.73;0.71;81.18;9.42;2;1;1;0;1;1;15;0
14.0;66.0;36.97929637287413;-2.7388817061475565;5.34;0.4;96.0;11.39;8;0;1;0;1;1;9;0
14.0;66.0;36.72438845164159;-2.3243996019943367;5.4;0.42;96.28;13.62;11;0;1;0;0;1;1;1
14.0;66.0;36.716068799169946;-2.618408856030998;7.42;0.77;85.85;7.87;1;0;1;0;1;1;15;0
14.0;66.0;36.74066155736321;-2.4458592509059383;5.21;0.31;94.31;12.44;8;0;1;1;1;1;11;0
14.0;66.0;36.755053172128505;-2.51807395078582;3.48;0.3;97.69;12.1;11;1;1;0;1;1;16;0
14.0;66.0;37.043278672616864;-2.6843978202295684;6.62;0.44;94.93;14.3;6;0;1;0;1;1;17;1
14.0;66.0;36.99020661639343;-2.509310845688201;5.26;0.34;94.38;13.46;6;0;1;1;1;1;11;1
14.0;66.0;36.82662590480258;-2.3666028452948056;4.3;0.25;97.0;17.12;9;0;0;0;1;1;12;1
14.0;66.0;36.77420580292338;-2.218826143076097;3.15;0.3;97.67;12.22;11;0;1;0;1;1;16;0
14.0;66.0;36.729736601853766;-2.48288941549866;6.28;0.46;94.44;14.09;6;1;1;0;1;1;17;1
14.0;66.0;37.06104880259456;-2.4985821752868724;3.71;0.3;95.77;14.38;13;0;1;1;0;1;7;1
14.0;66.0;36.91777522824233;-2.3537166603441624;6.4;0.35;92.89;14.26;7;0;1;1;1;1;4;1
14.0;66.0;36.88942456335055;-2.565933772506602;7.57;0.92;82.13;9.01;2;1;1;0;1;1;15;0
14.0;66.0;36.98472432295209;-2.2342864715060395;5.44;0.31;92.43;14.92;6;0;1;1;1;1;4;1
