,Unnamed: 0.1,temperature,humidity,date,nombre_finca,Fertilizantes,latitud,longitud,Unnamed: 0,Tipo,Brix,Acidez,Agua,Índice padurez,Calibre,Primavera,Verano,Otoño,Invierno,frescura
12,16,13.0,58.0,2018-05-10,"Rodriguez, Montgomery and Valentine",No,36.83907013022153,-2.4502981108531645,16,Rebelión,6.46,0.4,94.97,12.92,9,Sí,Sí,No,Sí,True
13,17,13.0,58.0,2018-12-31,"Collins, Shields and Anthony",No,36.84412647040562,-2.241212771433982,17,Raf,7.16,0.69,92.17,13.71,6,Sí,No,Sí,Sí,True
14,18,13.0,58.0,2018-02-24,Strickland-Rose,No,37.15707569487315,-2.560914173479327,18,Adora,7.91,0.8,85.18,13.06,6,Sí,No,No,Sí,True
15,19,13.0,58.0,2018-12-02,Schneider-Rasmussen,Sí,36.82748199301358,-2.6033319847743224,19,Pera,6.23,0.37,94.15,13.83,7,Sí,Sí,Sí,Sí,True
16,20,13.0,58.0,2018-12-19,"Roberson, Hunter and Webb",No,36.92839525476107,-2.305952631593569,20,San Marzano,3.61,0.3,95.69,14.15,8,Sí,Sí,No,Sí,True
17,21,13.0,58.0,2018-11-05,"Collins, Shields and Anthony",No,37.03807932467663,-2.7884559454308717,21,Corazon Casi,4.42,0.21,97.25,15.69,9,No,No,Sí,Sí,True
18,22,13.0,58.0,2018-01-31,"Collins, Shields and Anthony",No,36.86924168847523,-2.4041609039416483,22,Adora,8.34,0.8,88.42,12.82,8,Sí,No,No,Sí,True
19,23,13.0,58.0,2018-05-18,Strickland-Rose,No,37.05809877817576,-2.7212770783230638,23,Flamenko,6.96,0.8,89.54,13.14,5,Sí,No,No,Sí,True
20,24,13.0,58.0,2018-05-02,"Murphy, Myers and Mitchell",No,36.90299605711352,-2.69154102173418,24,Cherry Redondo,7.36,0.62,86.47,11.16,1,Sí,No,Sí,Sí,False
21,25,13.0,58.0,2018-11-26,"Murphy, Myers and Mitchell",Sí,36.78301042271894,-2.639714308513392,25,Raf,7.92,0.7,93.15,11.34,8,Sí,No,Sí,Sí,True
22,26,13.0,58.0,2018-02-14,Strickland-Rose,No,36.718830767875325,-2.728047655931497,26,Rosa,5.48,0.4,96.93,14.51,9,Sí,No,No,Sí,True
23,27,13.0,58.0,2018-05-14,Lopez and Sons,No,36.988988825486246,-2.520425002312789,27,Flamenko,6.73,0.8,87.4,13.79,7,Sí,No,No,Sí,True
24,29,13.0,58.0,2018-11-10,Lopez and Sons,No,36.81512641379744,-2.5809885585804877,29,Cherry Rama,7.83,0.99,81.05,8.14,1,Sí,No,Sí,Sí,False
25,30,13.0,58.0,2018-11-07,"Collins, Shields and Anthony",No,36.70548497175728,-2.669309293549066,30,Larga Vida,5.19,0.47,95.39,10.66,8,Sí,No,Sí,Sí,False
26,32,13.0,58.0,2018-11-16,Lopez and Sons,No,37.10926595101295,-2.485159659160003,32,Corazon Casi,3.62,0.29,97.8,16.22,9,No,No,Sí,Sí,True
27,36,13.0,58.0,2018-06-18,"Murphy, Myers and Mitchell",No,36.799147205147925,-2.603210352134563,36,Rama,5.16,0.32,93.77,13.18,8,Sí,Sí,Sí,Sí,True
28,38,13.0,58.0,2018-05-30,"Murphy, Myers and Mitchell",No,37.14961932580567,-2.40694404656652,38,Rosa,5.4,0.43,96.4,13.75,9,Sí,No,No,Sí,True
29,39,13.0,58.0,2018-02-03,Strickland-Rose,Sí,37.09983682299771,-2.211333685612316,39,Flamenko,6.14,0.8,89.62,13.11,6,Sí,No,No,Sí,True
30,40,13.0,58.0,2018-04-21,"Collins, Shields and Anthony",No,36.71375304656168,-2.5632631493284967,40,Negro,6.31,0.54,94.95,14.7,6,Sí,No,Sí,Sí,True
31,41,13.0,58.0,2018-09-27,Estrada LLC,No,37.11990376170464,-2.533209077005424,41,Corazon Casi,4.12,0.26,97.35,14.76,9,No,No,Sí,Sí,True
32,43,13.0,59.0,2018-11-05,Strickland-Rose,Sí,37.151635164271326,-2.230129739264989,43,Rama,5.33,0.31,93.17,14.56,6,Sí,Sí,Sí,Sí,True
33,45,13.0,59.0,2018-05-15,"Collins, Shields and Anthony",No,36.71546507640805,-2.682454803046836,45,Cherry Rama,8.03,0.95,82.83,8.24,1,Sí,No,Sí,Sí,False
34,46,13.0,59.0,2018-05-08,Estrada LLC,Sí,36.80608755254987,-2.695861259966068,46,Flamenko,6.73,0.8,88.37,14.39,7,Sí,No,No,Sí,True
35,48,13.0,59.0,2018-12-29,Estrada LLC,No,36.97344915530641,-2.715677508059549,48,San Marzano,3.8,0.3,95.93,13.7,12,Sí,Sí,No,Sí,True
36,50,13.0,59.0,2018-09-04,Nguyen-Thompson,Sí,37.17885346087956,-2.3044698066704585,50,Corazon Casi,4.43,0.27,97.51,15.19,8,No,No,Sí,Sí,True
37,52,13.0,59.0,2018-02-23,Estrada LLC,Sí,37.13779471560697,-2.780105485537705,52,Rama,5.27,0.34,93.62,13.13,6,Sí,Sí,Sí,Sí,True
38,56,13.0,59.0,2018-07-19,"Rodriguez, Montgomery and Valentine",Sí,37.05932407899577,-2.7528802435855293,56,San Marzano,3.65,0.3,95.84,13.53,11,Sí,Sí,No,Sí,False
39,57,13.0,59.0,2018-11-04,"Rodriguez, Montgomery and Valentine",Sí,37.0876447489041,-2.669621744503011,57,Cherry Redondo,7.28,0.63,86.74,10.73,3,Sí,No,Sí,Sí,False
40,58,13.0,59.0,2018-06-20,Strickland-Rose,No,36.88739864420469,-2.2147232725474115,58,Pera,5.06,0.33,92.32,14.94,7,Sí,Sí,Sí,Sí,True
41,60,12.0,59.0,2018-08-10,"Murphy, Myers and Mitchell",Sí,37.19662001872924,-2.4347476139876525,60,Rebelión,6.29,0.38,94.23,13.43,9,Sí,Sí,No,Sí,True
42,64,12.0,59.0,2018-03-18,Strickland-Rose,No,36.87820295492796,-2.32766416681498,64,Rama,5.48,0.33,93.11,14.44,7,Sí,Sí,Sí,Sí,True
43,65,12.0,59.0,2018-10-02,Schneider-Rasmussen,No,36.706737394066565,-2.643490479138681,65,Liso,6.22,0.49,96.21,13.61,10,Sí,No,Sí,Sí,True
44,66,12.0,59.0,2018-09-02,Lopez and Sons,No,37.07781424820912,-2.6169852854449567,66,Pera,5.44,0.38,92.83,13.04,6,Sí,Sí,Sí,Sí,True
45,67,12.0,59.0,2018-09-17,"Rodriguez, Montgomery and Valentine",No,37.18676490034248,-2.512484598925894,67,Cherry Redondo,7.21,0.67,87.92,10.93,3,Sí,No,Sí,Sí,False
46,68,12.0,59.0,2018-05-01,Nguyen-Thompson,No,37.13767979263774,-2.695274926267313,68,Beef,5.05,0.4,96.55,13.91,10,Sí,No,No,Sí,True
47,69,12.0,59.0,2018-01-05,Schneider-Rasmussen,No,36.776431631923565,-2.495266373171145,69,San Marzano,3.97,0.3,95.5,13.3,13,Sí,Sí,No,Sí,False
48,70,12.0,59.0,2018-09-05,Estrada LLC,No,36.92925742420138,-2.7198507318095944,70,Cherry Redondo,7.31,0.69,86.18,11.22,2,Sí,No,Sí,Sí,False
49,71,12.0,59.0,2018-12-28,"Roberson, Hunter and Webb",Sí,36.94879777419645,-2.5355388149138145,71,Cherry Rama,7.23,0.84,83.81,9.38,2,Sí,No,Sí,Sí,False
50,73,12.0,59.0,2018-12-08,Strickland-Rose,No,36.961105401490336,-2.3592972343594583,73,Pera,5.38,0.33,94.72,13.04,6,Sí,Sí,Sí,Sí,True
51,74,12.0,59.0,2018-02-27,"Roberson, Hunter and Webb",No,36.84574302074985,-2.436742966355825,74,Rama,5.49,0.31,93.15,13.51,6,Sí,Sí,Sí,Sí,True
52,75,12.0,59.0,2018-03-25,Strickland-Rose,No,36.7675478594305,-2.6268552651352173,75,Cherry Rama,6.61,0.74,89.32,9.15,1,Sí,No,Sí,Sí,False
53,76,12.0,59.0,2018-09-07,Jones-Boyd,Sí,36.71730256253279,-2.318848935215195,76,Cherry Redondo,7.26,0.66,86.49,11.27,1,Sí,No,Sí,Sí,False
54,78,12.0,59.0,2018-01-05,Estrada LLC,Sí,37.09551371081522,-2.626422461575404,78,Corazon Casi,4.17,0.23,97.08,17.62,8,No,No,Sí,Sí,True
55,80,12.0,59.0,2018-03-09,"Rodriguez, Montgomery and Valentine",No,36.86326884765643,-2.7433297979151003,80,Rama,5.33,0.34,93.54,12.44,6,Sí,Sí,Sí,Sí,False
56,81,12.0,59.0,2018-04-28,Schneider-Rasmussen,No,36.97704009944451,-2.2242282813282177,81,Beef,5.51,0.42,96.86,13.21,9,Sí,No,No,Sí,True
57,83,12.0,59.0,2018-12-11,Strickland-Rose,No,37.03174930100257,-2.39304239457504,83,Rosa,5.0,0.45,96.08,12.91,10,Sí,No,No,Sí,True
58,84,12.0,59.0,2018-12-29,Schneider-Rasmussen,No,36.72140160488706,-2.4219921327742333,84,Raf,7.01,0.73,92.56,11.51,6,Sí,No,Sí,Sí,True
59,85,12.0,59.0,2018-12-02,Schneider-Rasmussen,No,36.96837444464834,-2.642355157511606,85,Larga Vida,5.28,0.48,95.56,11.19,8,Sí,No,Sí,Sí,False
60,87,12.0,59.0,2018-03-17,Estrada LLC,No,37.18663777402198,-2.230635577618008,87,Rosa,5.52,0.42,96.92,13.11,9,Sí,No,No,Sí,True
61,89,12.0,59.0,2018-11-05,Estrada LLC,No,36.77959690305973,-2.3729771468322416,89,Liso,6.48,0.4,96.35,13.02,8,Sí,No,Sí,Sí,True
62,91,12.0,59.0,2018-11-24,Schneider-Rasmussen,Sí,36.84248770575056,-2.6089183339419124,91,Cherry Redondo,7.41,0.64,86.52,10.89,2,Sí,No,Sí,Sí,False
63,92,12.0,59.0,2018-05-27,Lopez and Sons,Sí,36.8110970933604,-2.2963680721200017,92,Raf,7.5,0.56,93.11,12.7,8,Sí,No,Sí,Sí,True
64,94,12.0,59.0,2018-06-24,Schneider-Rasmussen,No,36.98125008193307,-2.739475761573006,94,Rama,5.48,0.33,93.96,14.36,7,Sí,Sí,Sí,Sí,True
65,96,12.0,59.0,2018-03-26,Jones-Boyd,No,37.17734622366007,-2.7039051901681264,96,Corazón de Buey,3.34,0.3,97.68,12.75,9,Sí,No,Sí,Sí,False
66,97,12.0,59.0,2018-05-26,Jones-Boyd,Sí,36.836600781235056,-2.273806507205193,97,Adora,9.18,0.8,88.58,14.46,5,Sí,No,No,Sí,True
67,100,12.0,59.0,2018-09-07,Strickland-Rose,No,37.10932798105529,-2.5025961043672145,100,Cherry Rama,7.24,0.75,90.1,9.55,1,Sí,No,Sí,Sí,False
68,101,12.0,59.0,2018-03-04,Strickland-Rose,No,36.85723500743436,-2.7442140969335536,101,Flamenko,6.12,0.8,86.03,12.75,8,Sí,No,No,Sí,True
69,103,12.0,59.0,2018-04-14,Schneider-Rasmussen,No,36.75367384677055,-2.208459019423321,103,San Marzano,3.94,0.3,95.74,14.27,13,Sí,Sí,No,Sí,True
70,104,12.0,59.0,2018-03-01,"Collins, Shields and Anthony",No,37.00528847709657,-2.261589164495168,104,Larga Vida,5.23,0.47,95.55,10.68,6,Sí,No,Sí,Sí,False
71,105,12.0,59.0,2018-11-19,"Collins, Shields and Anthony",Sí,36.71153649267197,-2.6192244711012647,105,Rama,5.06,0.31,93.96,14.18,6,Sí,Sí,Sí,Sí,True
72,106,12.0,59.0,2018-11-06,"Rodriguez, Montgomery and Valentine",Sí,37.04034495120693,-2.256479043173514,106,Raf,6.16,0.67,93.16,10.79,6,Sí,No,Sí,Sí,False
73,107,12.0,59.0,2018-02-26,Lopez and Sons,Sí,37.017533533153255,-2.648047219838632,107,Cherry Rama,8.05,0.95,82.44,7.92,3,Sí,No,Sí,Sí,False
74,109,12.0,59.0,2018-10-15,"Rodriguez, Montgomery and Valentine",Sí,37.181023973364006,-2.5659548227841085,109,Liso,6.46,0.46,96.13,13.09,10,Sí,No,Sí,Sí,True
75,110,12.0,59.0,2018-12-12,Lopez and Sons,Sí,36.81957517168127,-2.5122953179698926,110,Pera,5.79,0.37,92.63,12.69,7,Sí,Sí,Sí,Sí,True
76,111,12.0,59.0,2018-09-03,"Collins, Shields and Anthony",No,36.88237909430124,-2.393731396573782,111,Raf,8.9,0.57,94.49,13.09,7,Sí,No,Sí,Sí,True
77,114,12.0,59.0,2018-04-02,Schneider-Rasmussen,No,36.95618060082376,-2.5430021799855083,114,Negro,6.65,0.58,94.39,14.54,6,Sí,No,Sí,Sí,True
78,115,12.0,59.0,2018-01-21,Schneider-Rasmussen,No,36.78902828124483,-2.731149163699472,115,Corazón de Buey,3.11,0.3,97.74,12.24,10,Sí,No,Sí,Sí,False
79,120,12.0,59.0,2018-02-12,"Roberson, Hunter and Webb",No,36.95857820251425,-2.229242040942072,120,Raf,6.5,0.72,93.15,13.23,9,Sí,No,Sí,Sí,True
80,121,12.0,59.0,2018-02-22,Schneider-Rasmussen,No,37.01375959943262,-2.5646843736012404,121,San Marzano,3.65,0.3,95.85,13.18,12,Sí,Sí,No,Sí,False
81,122,11.0,60.0,2018-09-09,"Murphy, Myers and Mitchell",Sí,36.873485242505616,-2.305813530901234,122,Larga Vida,5.11,0.48,95.77,11.58,7,Sí,No,Sí,Sí,False
82,124,11.0,60.0,2018-01-15,Jones-Boyd,Sí,36.80393423916579,-2.684363696943388,124,Cherry Rama,7.1,0.81,89.16,8.56,1,Sí,No,Sí,Sí,False
83,126,11.0,60.0,2018-04-19,"Rodriguez, Montgomery and Valentine",No,36.91804143239827,-2.635849951670349,126,Rebelión,6.65,0.38,94.08,14.77,8,Sí,Sí,No,Sí,True
84,129,11.0,60.0,2018-04-16,"Rodriguez, Montgomery and Valentine",Sí,36.84015939043696,-2.532031107615176,129,Rebelión,6.68,0.37,94.6,14.75,7,Sí,Sí,No,Sí,True
85,130,11.0,60.0,2018-01-19,Nguyen-Thompson,No,36.807629814022725,-2.520661042620115,130,Cherry Redondo,6.78,0.65,87.7,11.3,2,Sí,No,Sí,Sí,False
86,131,11.0,60.0,2018-05-22,"Murphy, Myers and Mitchell",No,37.03505754567047,-2.475077151665901,131,Adora,9.12,0.8,87.14,14.81,7,Sí,No,No,Sí,True
87,132,11.0,60.0,2018-05-30,Strickland-Rose,No,37.02148222252682,-2.652777232257299,132,Adora,8.08,0.8,86.95,14.45,7,Sí,No,No,Sí,True
88,133,11.0,60.0,2018-05-17,"Roberson, Hunter and Webb",Sí,36.79446510474291,-2.788192768932032,133,Raf,6.07,0.74,94.92,11.73,9,Sí,No,Sí,Sí,True
89,134,11.0,60.0,2018-09-07,Schneider-Rasmussen,No,37.17644790564675,-2.328071397299293,134,Pera,5.71,0.33,92.07,12.81,7,Sí,Sí,Sí,Sí,True
90,135,11.0,60.0,2018-04-24,Estrada LLC,Sí,37.04783104804549,-2.653866631173609,135,Flamenko,6.12,0.8,85.89,12.03,5,Sí,No,No,Sí,False
91,136,11.0,60.0,2018-09-10,Lopez and Sons,No,37.10734902975391,-2.561651511523913,136,Cherry Redondo,7.17,0.7,87.32,11.05,3,Sí,No,Sí,Sí,False
92,137,11.0,60.0,2018-09-11,Nguyen-Thompson,No,37.10012582321162,-2.6141350016680835,137,Corazón de Buey,3.5,0.3,97.73,12.64,12,Sí,No,Sí,Sí,False
93,138,11.0,60.0,2018-09-25,Jones-Boyd,No,37.00315652677367,-2.4292691745189026,138,Raf,8.45,0.75,92.65,12.65,8,Sí,No,Sí,Sí,True
94,139,11.0,60.0,2018-07-08,Estrada LLC,No,37.06477972408828,-2.653481538440494,139,Pera,5.18,0.31,93.74,13.39,6,Sí,Sí,Sí,Sí,True
95,142,11.0,60.0,2018-11-23,"Rodriguez, Montgomery and Valentine",Sí,37.04212179122995,-2.6654785247808186,142,Larga Vida,5.08,0.4,95.94,10.89,6,Sí,No,Sí,Sí,False
96,143,11.0,60.0,2018-12-14,"Rodriguez, Montgomery and Valentine",No,36.70457113750184,-2.7064349707552107,143,Cherry Pera,8.21,0.53,88.34,14.81,1,Sí,No,Sí,Sí,False
97,144,11.0,60.0,2018-10-15,"Murphy, Myers and Mitchell",No,37.13093453254254,-2.4850618623838234,144,Negro,6.99,0.58,94.45,13.55,6,Sí,No,Sí,Sí,True
98,145,11.0,60.0,2018-11-12,Nguyen-Thompson,No,37.17422084749302,-2.2218557922843805,145,Cherry Rama,7.55,0.75,88.11,8.89,1,Sí,No,Sí,Sí,False
99,146,11.0,60.0,2018-08-15,"Murphy, Myers and Mitchell",No,37.13004244050539,-2.6819355996547887,146,San Marzano,3.6,0.3,95.64,13.82,11,Sí,Sí,No,Sí,True
100,147,11.0,60.0,2018-04-28,Estrada LLC,No,36.982256339739386,-2.6071978030949814,147,Cherry Redondo,6.96,0.67,87.14,10.74,3,Sí,No,Sí,Sí,False
101,150,11.0,60.0,2018-11-18,Schneider-Rasmussen,No,37.06310859038828,-2.2232610354699003,150,Cherry Rama,7.04,0.72,90.78,9.24,3,Sí,No,Sí,Sí,False
102,151,11.0,60.0,2018-10-12,Jones-Boyd,No,37.03427660540287,-2.233774032011234,151,Corazón de Buey,2.7,0.3,97.74,12.12,9,Sí,No,Sí,Sí,False
103,152,11.0,60.0,2018-12-01,Nguyen-Thompson,No,36.98706792710545,-2.670753243529713,152,Adora,9.55,0.8,86.16,13.57,8,Sí,No,No,Sí,True
104,153,11.0,61.0,2018-05-01,"Murphy, Myers and Mitchell",No,37.12965612725677,-2.675020579204379,153,Corazón de Buey,3.14,0.3,97.68,12.81,9,Sí,No,Sí,Sí,False
105,154,11.0,61.0,2018-05-21,"Roberson, Hunter and Webb",No,36.89443175466888,-2.721333514886679,154,Beef,5.24,0.43,96.05,13.13,11,Sí,No,No,Sí,True
106,155,11.0,61.0,2018-11-19,"Roberson, Hunter and Webb",No,37.175151027868175,-2.5927209598926955,155,Raf,8.01,0.7,92.48,10.04,9,Sí,No,Sí,Sí,True
107,156,11.0,61.0,2018-10-10,Nguyen-Thompson,No,36.87806810548585,-2.596482377969508,156,Cherry Pera,7.7,0.43,87.44,14.11,2,Sí,No,Sí,Sí,False
108,157,11.0,61.0,2018-11-02,"Murphy, Myers and Mitchell",No,37.007009673584186,-2.560210337290408,157,Larga Vida,5.41,0.48,95.01,10.83,7,Sí,No,Sí,Sí,False
109,158,11.0,61.0,2018-05-25,Lopez and Sons,Sí,36.75555077101358,-2.347134125229092,158,Raf,8.51,0.74,93.91,13.83,6,Sí,No,Sí,Sí,True
110,159,11.0,61.0,2018-03-06,"Roberson, Hunter and Webb",No,37.11175219056567,-2.55050255582811,159,Raf,7.18,0.63,94.12,11.87,8,Sí,No,Sí,Sí,True
111,160,11.0,61.0,2018-05-30,Lopez and Sons,No,37.05466315472749,-2.7788993727947777,160,Larga Vida,5.26,0.45,95.11,10.81,8,Sí,No,Sí,Sí,False
112,161,11.0,61.0,2018-01-05,"Murphy, Myers and Mitchell",No,36.85380554267163,-2.552103776352946,161,Corazon Casi,4.27,0.27,97.27,13.99,9,No,No,Sí,Sí,True
113,162,11.0,61.0,2018-09-12,"Collins, Shields and Anthony",No,37.12662477915781,-2.3431432295540056,162,Liso,6.32,0.48,96.07,14.02,10,Sí,No,Sí,Sí,True
114,163,11.0,61.0,2018-10-04,Lopez and Sons,No,37.137668787191934,-2.343894177672375,163,Rama,5.16,0.33,93.89,12.63,8,Sí,Sí,Sí,Sí,False
115,164,11.0,61.0,2018-03-22,Strickland-Rose,Sí,36.99633720256893,-2.545502117307002,164,Beef,5.02,0.42,96.32,13.64,9,Sí,No,No,Sí,True
116,165,11.0,61.0,2018-11-02,"Rodriguez, Montgomery and Valentine",No,37.17941011506508,-2.237432032546371,165,Rama,5.12,0.33,94.33,13.94,7,Sí,Sí,Sí,Sí,True
117,168,11.0,61.0,2018-12-14,Nguyen-Thompson,Sí,36.7449162085164,-2.521941517248126,168,Adora,8.02,0.8,88.01,12.96,7,Sí,No,No,Sí,True
118,169,11.0,61.0,2018-05-19,Estrada LLC,Sí,37.03760546565988,-2.348327090460613,169,Adora,8.99,0.8,89.04,14.47,5,Sí,No,No,Sí,True
119,170,11.0,61.0,2018-12-31,"Murphy, Myers and Mitchell",No,36.981435534827696,-2.577821139349948,170,Cherry Redondo,7.28,0.63,87.08,11.08,3,Sí,No,Sí,Sí,False
120,172,11.0,61.0,2018-09-10,Schneider-Rasmussen,No,36.921280841090045,-2.4347256169707925,172,Negro,6.64,0.54,94.28,13.77,7,Sí,No,Sí,Sí,True
121,173,11.0,61.0,2018-11-30,Nguyen-Thompson,No,36.85764827384707,-2.641870851737754,173,Cherry Pera,8.25,0.51,86.37,18.4,2,Sí,No,Sí,Sí,True
122,175,11.0,61.0,2018-10-12,"Rodriguez, Montgomery and Valentine",No,36.92586950716584,-2.386113472677105,175,Larga Vida,5.17,0.44,95.46,10.72,6,Sí,No,Sí,Sí,False
123,177,11.0,61.0,2018-02-14,Estrada LLC,Sí,36.77298402840161,-2.707642957153307,177,Rebelión,7.96,0.36,94.12,14.98,8,Sí,Sí,No,Sí,True
124,178,11.0,61.0,2018-04-05,Jones-Boyd,No,37.14974041699315,-2.7844566895538594,178,Beef,5.05,0.41,96.81,13.1,10,Sí,No,No,Sí,True
125,180,11.0,61.0,2018-09-05,Schneider-Rasmussen,No,36.75740694630005,-2.793125886145672,180,Cherry Redondo,7.26,0.67,86.91,11.02,2,Sí,No,Sí,Sí,False
126,181,11.0,61.0,2018-08-25,Estrada LLC,Sí,36.72858777289085,-2.760112856918424,181,Rebelión,6.4,0.36,94.25,13.56,8,Sí,Sí,No,Sí,True
127,182,11.0,61.0,2018-02-23,"Murphy, Myers and Mitchell",No,37.13798326375738,-2.581673648144095,182,Corazon Casi,3.59,0.26,96.92,16.26,10,No,No,Sí,Sí,True
128,183,11.0,61.0,2018-04-06,Jones-Boyd,Sí,37.09602669710006,-2.2948904014996088,183,Rosa,5.41,0.43,96.88,14.4,10,Sí,No,No,Sí,True
129,184,11.0,61.0,2018-04-11,Estrada LLC,No,36.78923974290374,-2.343671725229045,184,Cherry Redondo,6.78,0.67,86.21,11.16,1,Sí,No,Sí,Sí,False
130,185,11.0,61.0,2018-02-25,"Roberson, Hunter and Webb",No,36.7267537602474,-2.528607078283315,185,Flamenko,6.4,0.8,87.61,13.29,6,Sí,No,No,Sí,True
131,186,11.0,62.0,2018-01-02,Jones-Boyd,Sí,36.893040311481975,-2.5253822403703827,186,Pera,5.62,0.38,94.54,13.71,6,Sí,Sí,Sí,Sí,True
132,187,11.0,62.0,2018-04-09,"Murphy, Myers and Mitchell",No,36.88213570738476,-2.2451202430737505,187,Flamenko,6.24,0.8,86.05,13.68,7,Sí,No,No,Sí,True
133,188,11.0,62.0,2018-03-10,"Roberson, Hunter and Webb",No,37.135685731008174,-2.360299197630398,188,Adora,9.11,0.8,89.67,13.54,7,Sí,No,No,Sí,True
134,189,11.0,62.0,2018-04-06,Strickland-Rose,No,37.10516687938015,-2.641192746233553,189,Larga Vida,5.41,0.4,95.11,11.92,7,Sí,No,Sí,Sí,False
135,190,11.0,62.0,2018-02-14,"Rodriguez, Montgomery and Valentine",No,36.772997355037575,-2.7494424889022246,190,Rama,5.49,0.33,93.68,13.89,6,Sí,Sí,Sí,Sí,True
136,191,11.0,62.0,2018-01-26,Strickland-Rose,Sí,36.77826546249054,-2.296751097139575,191,Rebelión,6.51,0.32,94.04,12.21,8,Sí,Sí,No,Sí,True
137,193,11.0,62.0,2018-09-26,Estrada LLC,Sí,36.932854100439336,-2.463742043989308,193,Rama,5.4,0.33,94.06,13.81,8,Sí,Sí,Sí,Sí,True
138,197,11.0,62.0,2018-06-10,"Roberson, Hunter and Webb",No,36.718736285137325,-2.7553509308223734,197,Rama,5.26,0.33,94.85,14.79,8,Sí,Sí,Sí,Sí,True
139,198,11.0,62.0,2018-01-04,"Collins, Shields and Anthony",No,36.918562192242106,-2.490301895688163,198,Cherry Redondo,6.86,0.68,86.43,11.17,3,Sí,No,Sí,Sí,False
140,204,11.0,62.0,2018-04-02,Strickland-Rose,Sí,36.94453402288229,-2.7848760141989124,204,Rosa,5.29,0.4,96.98,12.31,11,Sí,No,No,Sí,True
141,205,11.0,62.0,2018-02-15,Nguyen-Thompson,No,36.774274567452686,-2.7612577145145902,205,Rebelión,6.92,0.31,94.24,14.88,9,Sí,Sí,No,Sí,True
142,207,11.0,62.0,2018-10-27,"Rodriguez, Montgomery and Valentine",No,36.993539024439634,-2.4436398838513624,207,Pera,6.48,0.34,93.58,13.49,7,Sí,Sí,Sí,Sí,True
143,208,11.0,62.0,2018-02-15,"Rodriguez, Montgomery and Valentine",Sí,36.99704075338201,-2.598545536879004,208,Beef,5.39,0.41,96.09,14.35,11,Sí,No,No,Sí,True
144,211,11.0,62.0,2018-10-04,"Collins, Shields and Anthony",Sí,37.07807890128223,-2.464044761395066,211,Corazon Casi,4.31,0.22,97.27,14.42,10,No,No,Sí,Sí,True
145,212,11.0,62.0,2018-01-24,Estrada LLC,No,37.13210199211004,-2.602912140140766,212,Liso,6.43,0.48,96.93,14.93,9,Sí,No,Sí,Sí,True
146,213,11.0,62.0,2018-06-13,Schneider-Rasmussen,No,37.0538156242806,-2.4372209336144066,213,San Marzano,3.66,0.3,95.82,12.71,11,Sí,Sí,No,Sí,False
147,214,11.0,62.0,2018-03-08,Lopez and Sons,No,36.814581115910606,-2.554136735446837,214,Cherry Rama,7.66,0.73,81.46,8.39,2,Sí,No,Sí,Sí,False
